class,filename,path,url,data_origin,retrieved_date,issuing_authority,PDF_or_text
Circulers,AL-MQS-08-1.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\AL-MQS-08-1.pdf,,original_dataset,,Tea Board Circulers,
Circulers,AL-MQS-08-2 2008 04 24.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\AL-MQS-08-2 2008 04 24.pdf,,original_dataset,,Tea Board Circulers,
Circulers,AL-MQS-08-2.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\AL-MQS-08-2.pdf,,original_dataset,,Tea Board Circulers,
Circulers,AL-MQS-REV2010-02 2008 04 24.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\AL-MQS-REV2010-02 2008 04 24.pdf,,original_dataset,,Tea Board Circulers,
Circulers,AL-MQS-REV2010-02.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\AL-MQS-REV2010-02.pdf,,original_dataset,,Tea Board Circulers,
Circulers,AL-MQS-REV2010-03 2008 04 24.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\AL-MQS-REV2010-03 2008 04 24.pdf,,original_dataset,,Tea Board Circulers,
Circulers,AL-MQS-REV2010-03.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\AL-MQS-REV2010-03.pdf,,original_dataset,,Tea Board Circulers,
Circulers,AL-MRL-07 2007 08 21 (10).pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\AL-MRL-07 2007 08 21 (10).pdf,,original_dataset,,Tea Board Circulers,
Circulers,AL-MRL-07 2007 08 21 (2).pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\AL-MRL-07 2007 08 21 (2).pdf,,original_dataset,,Tea Board Circulers,
Circulers,AL-MRL-07 2007 08 21 (3).pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\AL-MRL-07 2007 08 21 (3).pdf,,original_dataset,,Tea Board Circulers,
Circulers,AL-MRL-07 2007 08 21 (4).pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\AL-MRL-07 2007 08 21 (4).pdf,,original_dataset,,Tea Board Circulers,
Circulers,AL-MRL-07 2007 08 21 (5).pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\AL-MRL-07 2007 08 21 (5).pdf,,original_dataset,,Tea Board Circulers,
Circulers,AL-MRL-07 2007 08 21 (6).pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\AL-MRL-07 2007 08 21 (6).pdf,,original_dataset,,Tea Board Circulers,
Circulers,AL-MRL-07 2007 08 21 (7).pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\AL-MRL-07 2007 08 21 (7).pdf,,original_dataset,,Tea Board Circulers,
Circulers,AL-MRL-07 2007 08 21 (8).pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\AL-MRL-07 2007 08 21 (8).pdf,,original_dataset,,Tea Board Circulers,
Circulers,AL-MRL-07 2007 08 21 (9).pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\AL-MRL-07 2007 08 21 (9).pdf,,original_dataset,,Tea Board Circulers,
Circulers,AL-MRL-07 2007 08 21.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\AL-MRL-07 2007 08 21.pdf,,original_dataset,,Tea Board Circulers,
Circulers,AL-MRL-07 ANNEXURE 1.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\AL-MRL-07 ANNEXURE 1.pdf,,original_dataset,,Tea Board Circulers,
Circulers,AL-MRL-07 ANNEXURE 2.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\AL-MRL-07 ANNEXURE 2.pdf,,original_dataset,,Tea Board Circulers,
Circulers,AL-MRL-07 ANNEXURE 3.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\AL-MRL-07 ANNEXURE 3.pdf,,original_dataset,,Tea Board Circulers,
Circulers,AL-MRL-07 ANNEXURE 4.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\AL-MRL-07 ANNEXURE 4.pdf,,original_dataset,,Tea Board Circulers,
Circulers,AL-MRL-07 ANNEXURE 5.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\AL-MRL-07 ANNEXURE 5.pdf,,original_dataset,,Tea Board Circulers,
Circulers,AL-MRL-07 ANNEXURE 6.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\AL-MRL-07 ANNEXURE 6.pdf,,original_dataset,,Tea Board Circulers,
Circulers,AL-MRL-07 ANNEXURE 7.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\AL-MRL-07 ANNEXURE 7.pdf,,original_dataset,,Tea Board Circulers,
Circulers,AL-MRL-07 PAGE 2.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\AL-MRL-07 PAGE 2.pdf,,original_dataset,,Tea Board Circulers,
Circulers,AL-MRL-07.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\AL-MRL-07.pdf,,original_dataset,,Tea Board Circulers,
Circulers,AL-MRL-13.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\AL-MRL-13.pdf,,original_dataset,,Tea Board Circulers,
Circulers,AL-MRL-132013 11 29.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\AL-MRL-132013 11 29.pdf,,original_dataset,,Tea Board Circulers,
Circulers,AL-PEST-DG-06 2006 08 05.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\AL-PEST-DG-06 2006 08 05.pdf,,original_dataset,,Tea Board Circulers,
Circulers,BL 1988 05 26.jpg,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\BL 1988 05 26.jpg,,original_dataset,,Tea Board Circulers,
Circulers,BL 1989 11 02.jpg,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\BL 1989 11 02.jpg,,original_dataset,,Tea Board Circulers,
Circulers,BL 40 1977 11 08.jpg,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\BL 40 1977 11 08.jpg,,original_dataset,,Tea Board Circulers,
Circulers,Capture.PNG,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\Capture.PNG,,original_dataset,,Tea Board Circulers,
Circulers,Capture1.PNG,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\Capture1.PNG,,original_dataset,,Tea Board Circulers,
Circulers,Capture3.PNG,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\Capture3.PNG,,original_dataset,,Tea Board Circulers,
Circulers,CR 3 4 (1) C  II.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\CR 3 4 (1) C  II.pdf,,original_dataset,,Tea Board Circulers,
Circulers,CR 3 4 (1) C.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\CR 3 4 (1) C.pdf,,original_dataset,,Tea Board Circulers,
Circulers,EA-1-110-1 2004 03 02.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\EA-1-110-1 2004 03 02.pdf,,original_dataset,,Tea Board Circulers,
Circulers,EA-1-110-1.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\EA-1-110-1.pdf,,original_dataset,,Tea Board Circulers,
Circulers,EA-1-110-2 2004 01 06.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\EA-1-110-2 2004 01 06.pdf,,original_dataset,,Tea Board Circulers,
Circulers,EA-1-110-2.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\EA-1-110-2.pdf,,original_dataset,,Tea Board Circulers,
Circulers,EA-1-110-3 2004 01 06.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\EA-1-110-3 2004 01 06.pdf,,original_dataset,,Tea Board Circulers,
Circulers,EA-1-110-3.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\EA-1-110-3.pdf,,original_dataset,,Tea Board Circulers,
Circulers,form it- im - 1.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\form it- im - 1.pdf,,original_dataset,,Tea Board Circulers,
Circulers,GLD 2011 1.jpg,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\GLD 2011 1.jpg,,original_dataset,,Tea Board Circulers,
Circulers,img171.jpg,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\img171.jpg,,original_dataset,,Tea Board Circulers,
Circulers,it-im-ul.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\it-im-ul.pdf,,original_dataset,,Tea Board Circulers,
Circulers,L D 1.jpg,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\L D 1.jpg,,original_dataset,,Tea Board Circulers,
Circulers,M F BL 63 1985 02 21.pdf,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\M F BL 63 1985 02 21.pdf,,original_dataset,,Tea Board Circulers,
Circulers,MF BL 116 I.jpg,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\MF BL 116 I.jpg,,original_dataset,,Tea Board Circulers,
Circulers,MF BL 116 II.jpg,\data\task1_raw_input\data_source_physical_archives_manual\v0_0\files\Circulers\MF BL 116 II.jpg,,original_dataset,,Tea Board Circulers,
